system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
61 Vir,90.0,1.0,0,False,1007.1914304661464,close_encounter
61 Vir,90.0,1.0,1,True,1154.0043343268837,survived
61 Vir,90.0,1.0,2,True,1154.0041610844871,survived
61 Vir,90.0,1.0,3,True,1154.0044197537184,survived
61 Vir,90.0,1.0,4,True,1154.0042553036142,survived
61 Vir,70.0,1.0641777724759123,0,True,1154.0043168992286,survived
61 Vir,70.0,1.0641777724759123,1,True,1154.0041072261406,survived
61 Vir,70.0,1.0641777724759123,2,True,1154.0042990911106,survived
61 Vir,70.0,1.0641777724759123,3,True,1154.0046413006737,survived
61 Vir,70.0,1.0641777724759123,4,True,1154.0044749087244,survived
61 Vir,55.0,1.220774588761456,0,True,1154.004249712352,survived
61 Vir,55.0,1.220774588761456,1,True,1154.0045093709757,survived
61 Vir,55.0,1.220774588761456,2,True,1154.0045961887688,survived
61 Vir,55.0,1.220774588761456,3,False,18.058573619949904,close_encounter
61 Vir,55.0,1.220774588761456,4,False,77.95203481586205,close_encounter
61 Vir,40.0,1.5557238268604126,0,True,1154.0042127264046,survived
61 Vir,40.0,1.5557238268604126,1,True,1154.0042948415128,survived
61 Vir,40.0,1.5557238268604126,2,True,1154.0041694167487,survived
61 Vir,40.0,1.5557238268604126,3,True,1154.0043992127053,survived
61 Vir,40.0,1.5557238268604126,4,True,1154.004317514017,survived
61 Vir,30.0,2.0000000000000004,0,True,1154.0044919283548,survived
61 Vir,30.0,2.0000000000000004,1,True,1154.004641807128,survived
61 Vir,30.0,2.0000000000000004,2,True,1154.0042426945142,survived
61 Vir,30.0,2.0000000000000004,3,True,1154.004493981453,survived
61 Vir,30.0,2.0000000000000004,4,True,1154.0043827616232,survived
61 Vir,22.0,2.6694671625540143,0,True,1154.0045111776565,survived
61 Vir,22.0,2.6694671625540143,1,True,1154.0041986126905,survived
61 Vir,22.0,2.6694671625540143,2,True,1154.0041255216129,survived
61 Vir,22.0,2.6694671625540143,3,True,1154.00429895435,survived
61 Vir,22.0,2.6694671625540143,4,True,1154.0042710023833,survived
61 Vir,16.0,3.6279552785433005,0,True,1154.0044290381475,survived
61 Vir,16.0,3.6279552785433005,1,True,1154.0042593901542,survived
61 Vir,16.0,3.6279552785433005,2,True,1154.004132281884,survived
61 Vir,16.0,3.6279552785433005,3,False,1.910316844164075,close_encounter
61 Vir,16.0,3.6279552785433005,4,True,1154.0044500615195,survived
61 Vir,12.0,4.809734344744131,0,True,1154.0041701291675,survived
61 Vir,12.0,4.809734344744131,1,True,1154.004117579894,survived
61 Vir,12.0,4.809734344744131,2,True,1154.0044035160834,survived
61 Vir,12.0,4.809734344744131,3,True,1154.0042483780524,survived
61 Vir,12.0,4.809734344744131,4,True,1154.0044445374303,survived
61 Vir,9.0,6.392453221499662,0,True,1154.0045660223354,survived
61 Vir,9.0,6.392453221499662,1,True,1154.0041668390131,survived
61 Vir,9.0,6.392453221499662,2,True,1154.004343463228,survived
61 Vir,9.0,6.392453221499662,3,True,1154.004237377498,survived
61 Vir,9.0,6.392453221499662,4,True,1154.0042252739993,survived
61 Vir,7.0,8.205509048125078,0,True,1154.0042086035853,survived
61 Vir,7.0,8.205509048125078,1,True,1154.0043927984723,survived
61 Vir,7.0,8.205509048125078,2,True,1154.004452405552,survived
61 Vir,7.0,8.205509048125078,3,True,1154.004387187659,survived
61 Vir,7.0,8.205509048125078,4,True,1154.0041442494878,survived
61 Vir,5.0,11.473713245669856,0,True,1154.0044481185535,survived
61 Vir,5.0,11.473713245669856,1,True,1154.0044010090025,survived
61 Vir,5.0,11.473713245669856,2,True,1154.004503761659,survived
61 Vir,5.0,11.473713245669856,3,True,1154.0042165227742,survived
61 Vir,5.0,11.473713245669856,4,True,1154.0044584380666,survived
