system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
75 Cet,90.0,1.0,0,True,190724.200896032,survived
75 Cet,90.0,1.0,1,True,190724.22938022617,survived
75 Cet,90.0,1.0,2,True,190724.2344759023,survived
75 Cet,90.0,1.0,3,True,190724.17878367513,survived
75 Cet,90.0,1.0,4,True,190724.21306217046,survived
75 Cet,70.0,1.0641777724759123,0,True,190724.19188846298,survived
75 Cet,70.0,1.0641777724759123,1,True,190724.1852701686,survived
75 Cet,70.0,1.0641777724759123,2,True,190724.19675790667,survived
75 Cet,70.0,1.0641777724759123,3,True,190724.2063954575,survived
75 Cet,70.0,1.0641777724759123,4,True,190724.19110553653,survived
75 Cet,55.0,1.220774588761456,0,True,190724.1882290904,survived
75 Cet,55.0,1.220774588761456,1,True,190724.19324358716,survived
75 Cet,55.0,1.220774588761456,2,True,190724.18672348835,survived
75 Cet,55.0,1.220774588761456,3,True,190724.20484830104,survived
75 Cet,55.0,1.220774588761456,4,True,190724.2414222817,survived
75 Cet,40.0,1.5557238268604126,0,True,190724.20139418286,survived
75 Cet,40.0,1.5557238268604126,1,True,190724.19502003558,survived
75 Cet,40.0,1.5557238268604126,2,True,190724.20339208705,survived
75 Cet,40.0,1.5557238268604126,3,True,190724.2313091302,survived
75 Cet,40.0,1.5557238268604126,4,True,190724.16465712214,survived
75 Cet,30.0,2.0000000000000004,0,True,190724.20796967726,survived
75 Cet,30.0,2.0000000000000004,1,True,190724.20678525418,survived
75 Cet,30.0,2.0000000000000004,2,True,190724.17709332693,survived
75 Cet,30.0,2.0000000000000004,3,True,190724.18725826585,survived
75 Cet,30.0,2.0000000000000004,4,True,190724.21470698813,survived
75 Cet,22.0,2.6694671625540143,0,True,190724.23850424972,survived
75 Cet,22.0,2.6694671625540143,1,True,190724.22922970023,survived
75 Cet,22.0,2.6694671625540143,2,True,190724.17701051605,survived
75 Cet,22.0,2.6694671625540143,3,True,190724.1691391775,survived
75 Cet,22.0,2.6694671625540143,4,True,190724.1903359944,survived
75 Cet,16.0,3.6279552785433005,0,True,190724.19191148414,survived
75 Cet,16.0,3.6279552785433005,1,True,190724.22724517903,survived
75 Cet,16.0,3.6279552785433005,2,True,190724.22068443982,survived
75 Cet,16.0,3.6279552785433005,3,True,190724.20234406748,survived
75 Cet,16.0,3.6279552785433005,4,True,190724.24532352347,survived
75 Cet,12.0,4.809734344744131,0,True,190724.22883163407,survived
75 Cet,12.0,4.809734344744131,1,True,190724.20895917178,survived
75 Cet,12.0,4.809734344744131,2,True,190724.2258004536,survived
75 Cet,12.0,4.809734344744131,3,True,190724.2158351357,survived
75 Cet,12.0,4.809734344744131,4,True,190724.21262523718,survived
75 Cet,9.0,6.392453221499662,0,True,190724.1679287511,survived
75 Cet,9.0,6.392453221499662,1,True,190724.17456670315,survived
75 Cet,9.0,6.392453221499662,2,True,190724.2211137009,survived
75 Cet,9.0,6.392453221499662,3,True,190724.20232989074,survived
75 Cet,9.0,6.392453221499662,4,True,190724.24072401764,survived
75 Cet,7.0,8.205509048125078,0,False,34091.27094415801,escape
75 Cet,7.0,8.205509048125078,1,True,190724.18941537538,survived
75 Cet,7.0,8.205509048125078,2,True,190724.2382421441,survived
75 Cet,7.0,8.205509048125078,3,True,190724.2319013302,survived
75 Cet,7.0,8.205509048125078,4,True,190724.22593165166,survived
75 Cet,5.0,11.473713245669856,0,True,190724.22488328113,survived
75 Cet,5.0,11.473713245669856,1,False,150.5080275067624,close_encounter
75 Cet,5.0,11.473713245669856,2,True,190724.19838418826,survived
75 Cet,5.0,11.473713245669856,3,True,190724.223435605,survived
75 Cet,5.0,11.473713245669856,4,True,190724.2095122676,survived
