system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
DMPP-6,90.0,1.0,0,True,2081.5060924746194,survived
DMPP-6,90.0,1.0,1,True,2081.5059327073313,survived
DMPP-6,90.0,1.0,2,True,2081.5058657728414,survived
DMPP-6,90.0,1.0,3,True,2081.5062429181767,survived
DMPP-6,90.0,1.0,4,True,2081.505954366968,survived
DMPP-6,70.0,1.0641777724759123,0,True,2081.5058676203635,survived
DMPP-6,70.0,1.0641777724759123,1,True,2081.5062053521287,survived
DMPP-6,70.0,1.0641777724759123,2,True,2081.506379190788,survived
DMPP-6,70.0,1.0641777724759123,3,True,2081.506012878798,survived
DMPP-6,70.0,1.0641777724759123,4,True,2081.506108561246,survived
DMPP-6,55.0,1.220774588761456,0,True,2081.506536378688,survived
DMPP-6,55.0,1.220774588761456,1,True,2081.506198968866,survived
DMPP-6,55.0,1.220774588761456,2,True,2081.5059215542456,survived
DMPP-6,55.0,1.220774588761456,3,True,2081.505912480914,survived
DMPP-6,55.0,1.220774588761456,4,True,2081.505823815995,survived
DMPP-6,40.0,1.5557238268604126,0,True,2081.506379279504,survived
DMPP-6,40.0,1.5557238268604126,1,True,2081.506205038961,survived
DMPP-6,40.0,1.5557238268604126,2,True,2081.5065075522125,survived
DMPP-6,40.0,1.5557238268604126,3,True,2081.506181997229,survived
DMPP-6,40.0,1.5557238268604126,4,True,2081.506400345752,survived
DMPP-6,30.0,2.0000000000000004,0,True,2081.5058352072992,survived
DMPP-6,30.0,2.0000000000000004,1,True,2081.5059671802755,survived
DMPP-6,30.0,2.0000000000000004,2,True,2081.5060407445053,survived
DMPP-6,30.0,2.0000000000000004,3,True,2081.5065356712,survived
DMPP-6,30.0,2.0000000000000004,4,True,2081.5060724073255,survived
DMPP-6,22.0,2.6694671625540143,0,True,2081.5059846867466,survived
DMPP-6,22.0,2.6694671625540143,1,True,2081.506140042258,survived
DMPP-6,22.0,2.6694671625540143,2,True,2081.5060220165915,survived
DMPP-6,22.0,2.6694671625540143,3,True,2081.5060586633595,survived
DMPP-6,22.0,2.6694671625540143,4,True,2081.5058511112506,survived
DMPP-6,16.0,3.6279552785433005,0,True,2081.5059447505573,survived
DMPP-6,16.0,3.6279552785433005,1,True,2081.505989569883,survived
DMPP-6,16.0,3.6279552785433005,2,True,2081.505984258205,survived
DMPP-6,16.0,3.6279552785433005,3,True,2081.5059277555083,survived
DMPP-6,16.0,3.6279552785433005,4,True,2081.5064821460423,survived
DMPP-6,12.0,4.809734344744131,0,True,2081.5058682626964,survived
DMPP-6,12.0,4.809734344744131,1,True,2081.5059171345893,survived
DMPP-6,12.0,4.809734344744131,2,True,2081.5059425918794,survived
DMPP-6,12.0,4.809734344744131,3,True,2081.5060025146277,survived
DMPP-6,12.0,4.809734344744131,4,True,2081.506029336658,survived
DMPP-6,9.0,6.392453221499662,0,True,2081.5063019864206,survived
DMPP-6,9.0,6.392453221499662,1,True,2081.506125391488,survived
DMPP-6,9.0,6.392453221499662,2,True,2081.5063437599806,survived
DMPP-6,9.0,6.392453221499662,3,True,2081.505903813814,survived
DMPP-6,9.0,6.392453221499662,4,True,2081.506005638897,survived
DMPP-6,7.0,8.205509048125078,0,True,2081.5059535442906,survived
DMPP-6,7.0,8.205509048125078,1,True,2081.5062300496975,survived
DMPP-6,7.0,8.205509048125078,2,True,2081.506360403798,survived
DMPP-6,7.0,8.205509048125078,3,True,2081.5058768993895,survived
DMPP-6,7.0,8.205509048125078,4,True,2081.506066646016,survived
DMPP-6,5.0,11.473713245669856,0,True,2081.506114581691,survived
DMPP-6,5.0,11.473713245669856,1,True,2081.5062934070866,survived
DMPP-6,5.0,11.473713245669856,2,True,2081.5059730662692,survived
DMPP-6,5.0,11.473713245669856,3,True,2081.5060184096233,survived
DMPP-6,5.0,11.473713245669856,4,True,2081.5059143761955,survived
