system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 229,90.0,1.0,0,False,539.4221356161075,close_encounter
GJ 229,90.0,1.0,1,True,33383.351713770026,survived
GJ 229,90.0,1.0,2,True,33383.348750136625,survived
GJ 229,90.0,1.0,3,True,33383.35221265588,survived
GJ 229,90.0,1.0,4,True,33383.35597710519,survived
GJ 229,70.0,1.0641777724759123,0,True,33383.350148378,survived
GJ 229,70.0,1.0641777724759123,1,True,33383.35093453056,survived
GJ 229,70.0,1.0641777724759123,2,True,33383.35843922146,survived
GJ 229,70.0,1.0641777724759123,3,True,33383.353711123025,survived
GJ 229,70.0,1.0641777724759123,4,True,33383.34987350494,survived
GJ 229,55.0,1.220774588761456,0,True,33383.35026510788,survived
GJ 229,55.0,1.220774588761456,1,True,33383.353030959544,survived
GJ 229,55.0,1.220774588761456,2,True,33383.35456176105,survived
GJ 229,55.0,1.220774588761456,3,True,33383.35032941354,survived
GJ 229,55.0,1.220774588761456,4,True,33383.35709067778,survived
GJ 229,40.0,1.5557238268604126,0,True,33383.35088985744,survived
GJ 229,40.0,1.5557238268604126,1,True,33383.3564027952,survived
GJ 229,40.0,1.5557238268604126,2,True,33383.349406498244,survived
GJ 229,40.0,1.5557238268604126,3,True,33383.356357892946,survived
GJ 229,40.0,1.5557238268604126,4,True,33383.35405687064,survived
GJ 229,30.0,2.0000000000000004,0,True,33383.35678327809,survived
GJ 229,30.0,2.0000000000000004,1,True,33383.353755838565,survived
GJ 229,30.0,2.0000000000000004,2,True,33383.352842775865,survived
GJ 229,30.0,2.0000000000000004,3,True,33383.35075962019,survived
GJ 229,30.0,2.0000000000000004,4,True,33383.35515274793,survived
GJ 229,22.0,2.6694671625540143,0,True,33383.35150761813,survived
GJ 229,22.0,2.6694671625540143,1,False,2.5192151921516674,close_encounter
GJ 229,22.0,2.6694671625540143,2,False,3.8382513838469494,close_encounter
GJ 229,22.0,2.6694671625540143,3,True,33383.35733529198,survived
GJ 229,22.0,2.6694671625540143,4,True,33383.351812999805,survived
GJ 229,16.0,3.6279552785433005,0,True,33383.35611839152,survived
GJ 229,16.0,3.6279552785433005,1,True,33383.348507499606,survived
GJ 229,16.0,3.6279552785433005,2,True,33383.34917872484,survived
GJ 229,16.0,3.6279552785433005,3,True,33383.35055449438,survived
GJ 229,16.0,3.6279552785433005,4,True,33383.353167191504,survived
GJ 229,12.0,4.809734344744131,0,False,4333.738521225166,close_encounter
GJ 229,12.0,4.809734344744131,1,True,33383.35528465616,survived
GJ 229,12.0,4.809734344744131,2,True,33383.35306853034,survived
GJ 229,12.0,4.809734344744131,3,False,0.08021006904843149,close_encounter
GJ 229,12.0,4.809734344744131,4,False,52.44057435597294,close_encounter
GJ 229,9.0,6.392453221499662,0,True,33383.35056031104,survived
GJ 229,9.0,6.392453221499662,1,True,33383.355044790274,survived
GJ 229,9.0,6.392453221499662,2,True,33383.35563067879,survived
GJ 229,9.0,6.392453221499662,3,False,2.8599669068550506,close_encounter
GJ 229,9.0,6.392453221499662,4,True,33383.35347416175,survived
GJ 229,7.0,8.205509048125078,0,False,8337.980658842485,close_encounter
GJ 229,7.0,8.205509048125078,1,True,33383.3540492747,survived
GJ 229,7.0,8.205509048125078,2,True,33383.354410696375,survived
GJ 229,7.0,8.205509048125078,3,False,5391.59574238073,close_encounter
GJ 229,7.0,8.205509048125078,4,False,13601.538977419943,close_encounter
GJ 229,5.0,11.473713245669856,0,False,279.84193872401056,close_encounter
GJ 229,5.0,11.473713245669856,1,True,33383.35476281091,survived
GJ 229,5.0,11.473713245669856,2,True,33383.34872604837,survived
GJ 229,5.0,11.473713245669856,3,False,17194.604770921447,close_encounter
GJ 229,5.0,11.473713245669856,4,True,33383.35100745526,survived
