system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 189567,90.0,1.0,0,True,3911.8426241445104,survived
HD 189567,90.0,1.0,1,True,3911.8416623401536,survived
HD 189567,90.0,1.0,2,True,3911.841651717657,survived
HD 189567,90.0,1.0,3,True,3911.8423678981026,survived
HD 189567,90.0,1.0,4,True,3911.842360026455,survived
HD 189567,70.0,1.0641777724759123,0,True,3911.8418027450657,survived
HD 189567,70.0,1.0641777724759123,1,True,3911.8418181280467,survived
HD 189567,70.0,1.0641777724759123,2,True,3911.842456311338,survived
HD 189567,70.0,1.0641777724759123,3,True,3911.8414046631005,survived
HD 189567,70.0,1.0641777724759123,4,True,3911.841588626454,survived
HD 189567,55.0,1.220774588761456,0,True,3911.842128952882,survived
HD 189567,55.0,1.220774588761456,1,True,3911.8412054366927,survived
HD 189567,55.0,1.220774588761456,2,False,311.7973937087808,close_encounter
HD 189567,55.0,1.220774588761456,3,True,3911.841375390622,survived
HD 189567,55.0,1.220774588761456,4,True,3911.8417954982874,survived
HD 189567,40.0,1.5557238268604126,0,True,3911.8421138446106,survived
HD 189567,40.0,1.5557238268604126,1,False,405.9169607791788,close_encounter
HD 189567,40.0,1.5557238268604126,2,True,3911.841493749628,survived
HD 189567,40.0,1.5557238268604126,3,True,3911.8423889542323,survived
HD 189567,40.0,1.5557238268604126,4,True,3911.842219860231,survived
HD 189567,30.0,2.0000000000000004,0,True,3911.842345547131,survived
HD 189567,30.0,2.0000000000000004,1,True,3911.841782879019,survived
HD 189567,30.0,2.0000000000000004,2,True,3911.8420419502622,survived
HD 189567,30.0,2.0000000000000004,3,True,3911.84121236503,survived
HD 189567,30.0,2.0000000000000004,4,True,3911.841320929907,survived
HD 189567,22.0,2.6694671625540143,0,True,3911.841700502641,survived
HD 189567,22.0,2.6694671625540143,1,True,3911.842056852156,survived
HD 189567,22.0,2.6694671625540143,2,True,3911.8422794925045,survived
HD 189567,22.0,2.6694671625540143,3,True,3911.8420894109586,survived
HD 189567,22.0,2.6694671625540143,4,True,3911.8421843938654,survived
HD 189567,16.0,3.6279552785433005,0,True,3911.8422811038904,survived
HD 189567,16.0,3.6279552785433005,1,True,3911.8415508357402,survived
HD 189567,16.0,3.6279552785433005,2,False,2824.7074039229396,close_encounter
HD 189567,16.0,3.6279552785433005,3,False,117.63559766392149,close_encounter
HD 189567,16.0,3.6279552785433005,4,True,3911.84249571843,survived
HD 189567,12.0,4.809734344744131,0,True,3911.8416001259843,survived
HD 189567,12.0,4.809734344744131,1,True,3911.842584731831,survived
HD 189567,12.0,4.809734344744131,2,True,3911.8424435178454,survived
HD 189567,12.0,4.809734344744131,3,True,3911.8425230146518,survived
HD 189567,12.0,4.809734344744131,4,True,3911.8414069968258,survived
HD 189567,9.0,6.392453221499662,0,True,3911.842279005504,survived
HD 189567,9.0,6.392453221499662,1,True,3911.841352328071,survived
HD 189567,9.0,6.392453221499662,2,True,3911.8415144982655,survived
HD 189567,9.0,6.392453221499662,3,True,3911.841848784335,survived
HD 189567,9.0,6.392453221499662,4,True,3911.841534725218,survived
HD 189567,7.0,8.205509048125078,0,False,2794.20229761933,close_encounter
HD 189567,7.0,8.205509048125078,1,True,3911.841669023382,survived
HD 189567,7.0,8.205509048125078,2,True,3911.8422346256984,survived
HD 189567,7.0,8.205509048125078,3,True,3911.8422420713027,survived
HD 189567,7.0,8.205509048125078,4,True,3911.8417719492077,survived
HD 189567,5.0,11.473713245669856,0,True,3911.841761950474,survived
HD 189567,5.0,11.473713245669856,1,True,3911.8421656260934,survived
HD 189567,5.0,11.473713245669856,2,True,3911.842568508205,survived
HD 189567,5.0,11.473713245669856,3,True,3911.841999064471,survived
HD 189567,5.0,11.473713245669856,4,True,3911.841540951435,survived
