system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
K2-18,90.0,1.0,0,True,2453.662003113255,survived
K2-18,90.0,1.0,1,True,2453.6621803005564,survived
K2-18,90.0,1.0,2,True,2453.662220635564,survived
K2-18,90.0,1.0,3,True,2453.661954092728,survived
K2-18,90.0,1.0,4,True,2453.6619829942492,survived
K2-18,70.0,1.0641777724759123,0,True,2453.6621383392144,survived
K2-18,70.0,1.0641777724759123,1,True,2453.6619049540313,survived
K2-18,70.0,1.0641777724759123,2,True,2453.6623124128137,survived
K2-18,70.0,1.0641777724759123,3,True,2453.6622047312026,survived
K2-18,70.0,1.0641777724759123,4,True,2453.662074380065,survived
K2-18,55.0,1.220774588761456,0,True,2453.6621019287236,survived
K2-18,55.0,1.220774588761456,1,True,2453.662205352992,survived
K2-18,55.0,1.220774588761456,2,True,2453.66194953912,survived
K2-18,55.0,1.220774588761456,3,True,2453.6620899479117,survived
K2-18,55.0,1.220774588761456,4,True,2453.6620956659376,survived
K2-18,40.0,1.5557238268604126,0,True,2453.6623368574815,survived
K2-18,40.0,1.5557238268604126,1,True,2453.6622129673947,survived
K2-18,40.0,1.5557238268604126,2,True,2453.6620720375245,survived
K2-18,40.0,1.5557238268604126,3,True,2453.662021195579,survived
K2-18,40.0,1.5557238268604126,4,True,2453.6623181086657,survived
K2-18,30.0,2.0000000000000004,0,True,2453.662060713442,survived
K2-18,30.0,2.0000000000000004,1,True,2453.6622431195183,survived
K2-18,30.0,2.0000000000000004,2,True,2453.662192177677,survived
K2-18,30.0,2.0000000000000004,3,True,2453.6621501366035,survived
K2-18,30.0,2.0000000000000004,4,True,2453.6619991635253,survived
K2-18,22.0,2.6694671625540143,0,True,2453.6619099336494,survived
K2-18,22.0,2.6694671625540143,1,True,2453.6619927609277,survived
K2-18,22.0,2.6694671625540143,2,True,2453.662234577883,survived
K2-18,22.0,2.6694671625540143,3,True,2453.662108911435,survived
K2-18,22.0,2.6694671625540143,4,True,2453.6623045352717,survived
K2-18,16.0,3.6279552785433005,0,False,422.3523875312393,close_encounter
K2-18,16.0,3.6279552785433005,1,True,2453.6622470065377,survived
K2-18,16.0,3.6279552785433005,2,True,2453.662230137507,survived
K2-18,16.0,3.6279552785433005,3,True,2453.6621235793423,survived
K2-18,16.0,3.6279552785433005,4,False,742.9750889536759,close_encounter
K2-18,12.0,4.809734344744131,0,True,2453.662114405379,survived
K2-18,12.0,4.809734344744131,1,True,2453.6622163993025,survived
K2-18,12.0,4.809734344744131,2,False,1265.2115859816695,close_encounter
K2-18,12.0,4.809734344744131,3,True,2453.661996685947,survived
K2-18,12.0,4.809734344744131,4,True,2453.662346068309,survived
K2-18,9.0,6.392453221499662,0,True,2453.6621737978094,survived
K2-18,9.0,6.392453221499662,1,True,2453.66221949228,survived
K2-18,9.0,6.392453221499662,2,True,2453.66232318596,survived
K2-18,9.0,6.392453221499662,3,False,162.67016442820278,close_encounter
K2-18,9.0,6.392453221499662,4,True,2453.662222297728,survived
K2-18,7.0,8.205509048125078,0,True,2453.6620626153176,survived
K2-18,7.0,8.205509048125078,1,True,2453.6622325374956,survived
K2-18,7.0,8.205509048125078,2,True,2453.6623377725214,survived
K2-18,7.0,8.205509048125078,3,False,1205.6120381960118,close_encounter
K2-18,7.0,8.205509048125078,4,True,2453.662063646558,survived
K2-18,5.0,11.473713245669856,0,True,2453.6620940083053,survived
K2-18,5.0,11.473713245669856,1,False,40.539643243777874,close_encounter
K2-18,5.0,11.473713245669856,2,True,2453.662047282753,survived
K2-18,5.0,11.473713245669856,3,False,13.638034397609385,close_encounter
K2-18,5.0,11.473713245669856,4,True,2453.662138082524,survived
