system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Kepler-129,90.0,1.0,0,True,4323.066459306831,survived
Kepler-129,90.0,1.0,1,True,4323.067631689854,survived
Kepler-129,90.0,1.0,2,True,4323.0666737102065,survived
Kepler-129,90.0,1.0,3,True,4323.067508673548,survived
Kepler-129,90.0,1.0,4,True,4323.066628614279,survived
Kepler-129,70.0,1.0641777724759123,0,True,4323.066807743751,survived
Kepler-129,70.0,1.0641777724759123,1,True,4323.06808117393,survived
Kepler-129,70.0,1.0641777724759123,2,True,4323.067285168694,survived
Kepler-129,70.0,1.0641777724759123,3,True,4323.067390155972,survived
Kepler-129,70.0,1.0641777724759123,4,True,4323.068118098333,survived
Kepler-129,55.0,1.220774588761456,0,True,4323.067224324099,survived
Kepler-129,55.0,1.220774588761456,1,True,4323.067473227144,survived
Kepler-129,55.0,1.220774588761456,2,True,4323.067240934011,survived
Kepler-129,55.0,1.220774588761456,3,True,4323.066517477902,survived
Kepler-129,55.0,1.220774588761456,4,True,4323.066903774129,survived
Kepler-129,40.0,1.5557238268604126,0,True,4323.067564176444,survived
Kepler-129,40.0,1.5557238268604126,1,True,4323.067971832541,survived
Kepler-129,40.0,1.5557238268604126,2,True,4323.06822163967,survived
Kepler-129,40.0,1.5557238268604126,3,True,4323.067857977248,survived
Kepler-129,40.0,1.5557238268604126,4,True,4323.066988753299,survived
Kepler-129,30.0,2.0000000000000004,0,True,4323.0674000619065,survived
Kepler-129,30.0,2.0000000000000004,1,True,4323.067028408567,survived
Kepler-129,30.0,2.0000000000000004,2,True,4323.06814699369,survived
Kepler-129,30.0,2.0000000000000004,3,True,4323.067930668692,survived
Kepler-129,30.0,2.0000000000000004,4,True,4323.068291694759,survived
Kepler-129,22.0,2.6694671625540143,0,True,4323.067782069054,survived
Kepler-129,22.0,2.6694671625540143,1,True,4323.067759356163,survived
Kepler-129,22.0,2.6694671625540143,2,True,4323.068027235408,survived
Kepler-129,22.0,2.6694671625540143,3,True,4323.067355305687,survived
Kepler-129,22.0,2.6694671625540143,4,True,4323.06693640291,survived
Kepler-129,16.0,3.6279552785433005,0,True,4323.067542498215,survived
Kepler-129,16.0,3.6279552785433005,1,True,4323.068107768976,survived
Kepler-129,16.0,3.6279552785433005,2,True,4323.067085315589,survived
Kepler-129,16.0,3.6279552785433005,3,True,4323.0664142907,survived
Kepler-129,16.0,3.6279552785433005,4,True,4323.066999126878,survived
Kepler-129,12.0,4.809734344744131,0,True,4323.067761754813,survived
Kepler-129,12.0,4.809734344744131,1,True,4323.067811684084,survived
Kepler-129,12.0,4.809734344744131,2,True,4323.066716543609,survived
Kepler-129,12.0,4.809734344744131,3,True,4323.068027357442,survived
Kepler-129,12.0,4.809734344744131,4,True,4323.0673763576315,survived
Kepler-129,9.0,6.392453221499662,0,True,4323.068098043025,survived
Kepler-129,9.0,6.392453221499662,1,True,4323.06784731652,survived
Kepler-129,9.0,6.392453221499662,2,True,4323.066714559631,survived
Kepler-129,9.0,6.392453221499662,3,True,4323.066515164001,survived
Kepler-129,9.0,6.392453221499662,4,True,4323.066430724168,survived
Kepler-129,7.0,8.205509048125078,0,True,4323.066620108017,survived
Kepler-129,7.0,8.205509048125078,1,True,4323.068343070734,survived
Kepler-129,7.0,8.205509048125078,2,True,4323.06697382673,survived
Kepler-129,7.0,8.205509048125078,3,True,4323.066410520454,survived
Kepler-129,7.0,8.205509048125078,4,True,4323.066998354863,survived
Kepler-129,5.0,11.473713245669856,0,True,4323.067486696906,survived
Kepler-129,5.0,11.473713245669856,1,True,4323.068389049864,survived
Kepler-129,5.0,11.473713245669856,2,True,4323.068083619032,survived
Kepler-129,5.0,11.473713245669856,3,True,4323.06681217645,survived
Kepler-129,5.0,11.473713245669856,4,True,4323.066548325879,survived
