system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
L 98-59,90.0,1.0,0,True,616.8690944317544,survived
L 98-59,90.0,1.0,1,True,616.869123251039,survived
L 98-59,90.0,1.0,2,True,616.8691933684269,survived
L 98-59,90.0,1.0,3,True,616.869165605801,survived
L 98-59,90.0,1.0,4,True,616.8691293057087,survived
L 98-59,70.0,1.0641777724759123,0,True,616.8692603479378,survived
L 98-59,70.0,1.0641777724759123,1,True,616.8692288734061,survived
L 98-59,70.0,1.0641777724759123,2,True,616.869165563007,survived
L 98-59,70.0,1.0641777724759123,3,True,616.8691720524736,survived
L 98-59,70.0,1.0641777724759123,4,True,616.8690369516652,survived
L 98-59,55.0,1.220774588761456,0,True,616.869017219,survived
L 98-59,55.0,1.220774588761456,1,True,616.8691319441394,survived
L 98-59,55.0,1.220774588761456,2,True,616.86901218855,survived
L 98-59,55.0,1.220774588761456,3,True,616.869226972874,survived
L 98-59,55.0,1.220774588761456,4,True,616.8690714890339,survived
L 98-59,40.0,1.5557238268604126,0,True,616.8690876961475,survived
L 98-59,40.0,1.5557238268604126,1,True,616.8692329530047,survived
L 98-59,40.0,1.5557238268604126,2,True,616.8690580521901,survived
L 98-59,40.0,1.5557238268604126,3,True,616.869260266389,survived
L 98-59,40.0,1.5557238268604126,4,True,616.8690369975478,survived
L 98-59,30.0,2.0000000000000004,0,True,616.8692346014709,survived
L 98-59,30.0,2.0000000000000004,1,True,616.8691953688664,survived
L 98-59,30.0,2.0000000000000004,2,True,616.8690503132049,survived
L 98-59,30.0,2.0000000000000004,3,True,616.8690500611136,survived
L 98-59,30.0,2.0000000000000004,4,True,616.8692404943694,survived
L 98-59,22.0,2.6694671625540143,0,True,616.8692080189071,survived
L 98-59,22.0,2.6694671625540143,1,True,616.8692746306315,survived
L 98-59,22.0,2.6694671625540143,2,True,616.8690863837157,survived
L 98-59,22.0,2.6694671625540143,3,True,616.8692242903556,survived
L 98-59,22.0,2.6694671625540143,4,True,616.8692069084964,survived
L 98-59,16.0,3.6279552785433005,0,True,616.8690718773278,survived
L 98-59,16.0,3.6279552785433005,1,True,616.8691064475887,survived
L 98-59,16.0,3.6279552785433005,2,True,616.8691270122013,survived
L 98-59,16.0,3.6279552785433005,3,True,616.8691601793068,survived
L 98-59,16.0,3.6279552785433005,4,True,616.8690522525486,survived
L 98-59,12.0,4.809734344744131,0,True,616.8692708043021,survived
L 98-59,12.0,4.809734344744131,1,True,616.8690194628595,survived
L 98-59,12.0,4.809734344744131,2,True,616.8691048270035,survived
L 98-59,12.0,4.809734344744131,3,True,616.869232006447,survived
L 98-59,12.0,4.809734344744131,4,True,616.8690169745609,survived
L 98-59,9.0,6.392453221499662,0,True,616.869095118868,survived
L 98-59,9.0,6.392453221499662,1,True,616.869270633361,survived
L 98-59,9.0,6.392453221499662,2,True,616.8691051166023,survived
L 98-59,9.0,6.392453221499662,3,True,616.8692210144588,survived
L 98-59,9.0,6.392453221499662,4,True,616.8691454138161,survived
L 98-59,7.0,8.205509048125078,0,True,616.8690232677983,survived
L 98-59,7.0,8.205509048125078,1,True,616.8692245272493,survived
L 98-59,7.0,8.205509048125078,2,True,616.869035134521,survived
L 98-59,7.0,8.205509048125078,3,True,616.8690230883419,survived
L 98-59,7.0,8.205509048125078,4,True,616.8691551339989,survived
L 98-59,5.0,11.473713245669856,0,True,616.8691272387694,survived
L 98-59,5.0,11.473713245669856,1,True,616.8692010346304,survived
L 98-59,5.0,11.473713245669856,2,True,616.8692360325003,survived
L 98-59,5.0,11.473713245669856,3,True,616.8689992165101,survived
L 98-59,5.0,11.473713245669856,4,True,616.8692530086366,survived
