system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
rho CrB,90.0,1.0,0,True,3532.9229267143633,survived
rho CrB,90.0,1.0,1,True,3532.923836621669,survived
rho CrB,90.0,1.0,2,True,3532.9235396743347,survived
rho CrB,90.0,1.0,3,True,3532.922732485506,survived
rho CrB,90.0,1.0,4,True,3532.9229565085843,survived
rho CrB,70.0,1.0641777724759123,0,True,3532.9236517823356,survived
rho CrB,70.0,1.0641777724759123,1,True,3532.9231702202983,survived
rho CrB,70.0,1.0641777724759123,2,True,3532.922718371951,survived
rho CrB,70.0,1.0641777724759123,3,True,3532.9234778067844,survived
rho CrB,70.0,1.0641777724759123,4,True,3532.924067848926,survived
rho CrB,55.0,1.220774588761456,0,True,3532.9232068003676,survived
rho CrB,55.0,1.220774588761456,1,True,3532.9229031767086,survived
rho CrB,55.0,1.220774588761456,2,True,3532.9233638235787,survived
rho CrB,55.0,1.220774588761456,3,True,3532.92308690621,survived
rho CrB,55.0,1.220774588761456,4,True,3532.923634011046,survived
rho CrB,40.0,1.5557238268604126,0,True,3532.9235731124127,survived
rho CrB,40.0,1.5557238268604126,1,True,3532.923048723399,survived
rho CrB,40.0,1.5557238268604126,2,True,3532.9240222706158,survived
rho CrB,40.0,1.5557238268604126,3,True,3532.924229380707,survived
rho CrB,40.0,1.5557238268604126,4,True,3532.923722029642,survived
rho CrB,30.0,2.0000000000000004,0,True,3532.923901086862,survived
rho CrB,30.0,2.0000000000000004,1,True,3532.92339814697,survived
rho CrB,30.0,2.0000000000000004,2,True,3532.923591526882,survived
rho CrB,30.0,2.0000000000000004,3,True,3532.9229768251885,survived
rho CrB,30.0,2.0000000000000004,4,True,3532.924133005179,survived
rho CrB,22.0,2.6694671625540143,0,True,3532.9227963445514,survived
rho CrB,22.0,2.6694671625540143,1,True,3532.9238079213837,survived
rho CrB,22.0,2.6694671625540143,2,True,3532.9242011086167,survived
rho CrB,22.0,2.6694671625540143,3,True,3532.9237610547216,survived
rho CrB,22.0,2.6694671625540143,4,True,3532.9233246734166,survived
rho CrB,16.0,3.6279552785433005,0,True,3532.9231900357154,survived
rho CrB,16.0,3.6279552785433005,1,True,3532.9236527379126,survived
rho CrB,16.0,3.6279552785433005,2,True,3532.9231919008957,survived
rho CrB,16.0,3.6279552785433005,3,True,3532.9230149170435,survived
rho CrB,16.0,3.6279552785433005,4,True,3532.9243324282875,survived
rho CrB,12.0,4.809734344744131,0,True,3532.922893988106,survived
rho CrB,12.0,4.809734344744131,1,True,3532.92265916017,survived
rho CrB,12.0,4.809734344744131,2,True,3532.9231273045275,survived
rho CrB,12.0,4.809734344744131,3,True,3532.9235635615455,survived
rho CrB,12.0,4.809734344744131,4,True,3532.9240848426116,survived
rho CrB,9.0,6.392453221499662,0,True,3532.924119207022,survived
rho CrB,9.0,6.392453221499662,1,True,3532.9237557049587,survived
rho CrB,9.0,6.392453221499662,2,True,3532.9228603503025,survived
rho CrB,9.0,6.392453221499662,3,True,3532.9241913801757,survived
rho CrB,9.0,6.392453221499662,4,True,3532.9237674717447,survived
rho CrB,7.0,8.205509048125078,0,True,3532.923081237197,survived
rho CrB,7.0,8.205509048125078,1,True,3532.92294712026,survived
rho CrB,7.0,8.205509048125078,2,True,3532.9240903045493,survived
rho CrB,7.0,8.205509048125078,3,True,3532.9228512592376,survived
rho CrB,7.0,8.205509048125078,4,True,3532.924106114869,survived
rho CrB,5.0,11.473713245669856,0,True,3532.9242089248132,survived
rho CrB,5.0,11.473713245669856,1,True,3532.9240161743387,survived
rho CrB,5.0,11.473713245669856,2,True,3532.9228918588005,survived
rho CrB,5.0,11.473713245669856,3,True,3532.92407643338,survived
rho CrB,5.0,11.473713245669856,4,True,3532.922909207425,survived
