system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TOI-375,90.0,1.0,0,True,2588.55308225755,survived
TOI-375,90.0,1.0,1,True,2588.5541409525395,survived
TOI-375,90.0,1.0,2,True,2588.5535301703576,survived
TOI-375,90.0,1.0,3,True,2588.5534634033265,survived
TOI-375,90.0,1.0,4,True,2588.5542603431886,survived
TOI-375,70.0,1.0641777724759123,0,True,2588.553792225859,survived
TOI-375,70.0,1.0641777724759123,1,True,2588.5531827478285,survived
TOI-375,70.0,1.0641777724759123,2,True,2588.5538020791273,survived
TOI-375,70.0,1.0641777724759123,3,True,2588.5535728152586,survived
TOI-375,70.0,1.0641777724759123,4,True,2588.5531707949526,survived
TOI-375,55.0,1.220774588761456,0,True,2588.5532031664234,survived
TOI-375,55.0,1.220774588761456,1,True,2588.5539787551043,survived
TOI-375,55.0,1.220774588761456,2,True,2588.5538643930163,survived
TOI-375,55.0,1.220774588761456,3,True,2588.553068330213,survived
TOI-375,55.0,1.220774588761456,4,True,2588.5537968310064,survived
TOI-375,40.0,1.5557238268604126,0,True,2588.553542717842,survived
TOI-375,40.0,1.5557238268604126,1,True,2588.5535084271773,survived
TOI-375,40.0,1.5557238268604126,2,True,2588.553080650086,survived
TOI-375,40.0,1.5557238268604126,3,True,2588.5536011693607,survived
TOI-375,40.0,1.5557238268604126,4,True,2588.553065531453,survived
TOI-375,30.0,2.0000000000000004,0,True,2588.5540446713135,survived
TOI-375,30.0,2.0000000000000004,1,True,2588.553842127325,survived
TOI-375,30.0,2.0000000000000004,2,True,2588.5536650552763,survived
TOI-375,30.0,2.0000000000000004,3,True,2588.5531654162346,survived
TOI-375,30.0,2.0000000000000004,4,True,2588.5539085879127,survived
TOI-375,22.0,2.6694671625540143,0,True,2588.5535384812133,survived
TOI-375,22.0,2.6694671625540143,1,True,2588.553334194513,survived
TOI-375,22.0,2.6694671625540143,2,True,2588.5540865887647,survived
TOI-375,22.0,2.6694671625540143,3,True,2588.5538113162083,survived
TOI-375,22.0,2.6694671625540143,4,True,2588.5531262068034,survived
TOI-375,16.0,3.6279552785433005,0,True,2588.5536053771034,survived
TOI-375,16.0,3.6279552785433005,1,True,2588.5536205746043,survived
TOI-375,16.0,3.6279552785433005,2,True,2588.5539995015893,survived
TOI-375,16.0,3.6279552785433005,3,True,2588.5540086926867,survived
TOI-375,16.0,3.6279552785433005,4,True,2588.553408077737,survived
TOI-375,12.0,4.809734344744131,0,True,2588.553830978074,survived
TOI-375,12.0,4.809734344744131,1,True,2588.5537599401205,survived
TOI-375,12.0,4.809734344744131,2,True,2588.5534413549103,survived
TOI-375,12.0,4.809734344744131,3,True,2588.5542560809004,survived
TOI-375,12.0,4.809734344744131,4,True,2588.554216369879,survived
TOI-375,9.0,6.392453221499662,0,True,2588.553642270466,survived
TOI-375,9.0,6.392453221499662,1,True,2588.553824546035,survived
TOI-375,9.0,6.392453221499662,2,True,2588.553511059003,survived
TOI-375,9.0,6.392453221499662,3,True,2588.5536361525765,survived
TOI-375,9.0,6.392453221499662,4,True,2588.5532919723696,survived
TOI-375,7.0,8.205509048125078,0,True,2588.5531927360867,survived
TOI-375,7.0,8.205509048125078,1,True,2588.5537745505017,survived
TOI-375,7.0,8.205509048125078,2,True,2588.5536361403165,survived
TOI-375,7.0,8.205509048125078,3,True,2588.5539552634677,survived
TOI-375,7.0,8.205509048125078,4,True,2588.553341695993,survived
TOI-375,5.0,11.473713245669856,0,True,2588.554152292881,survived
TOI-375,5.0,11.473713245669856,1,True,2588.5533939203874,survived
TOI-375,5.0,11.473713245669856,2,True,2588.554125341057,survived
TOI-375,5.0,11.473713245669856,3,True,2588.553622584229,survived
TOI-375,5.0,11.473713245669856,4,True,2588.553483340757,survived
