system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TYC 1422-614-1,90.0,1.0,0,True,54318.970500337055,survived
TYC 1422-614-1,90.0,1.0,1,True,54318.9736868204,survived
TYC 1422-614-1,90.0,1.0,2,True,54318.966278730026,survived
TYC 1422-614-1,90.0,1.0,3,True,54318.96326283913,survived
TYC 1422-614-1,90.0,1.0,4,True,54318.98342740644,survived
TYC 1422-614-1,70.0,1.0641777724759123,0,True,54318.96817431391,survived
TYC 1422-614-1,70.0,1.0641777724759123,1,True,54318.964645512264,survived
TYC 1422-614-1,70.0,1.0641777724759123,2,True,54318.98005105631,survived
TYC 1422-614-1,70.0,1.0641777724759123,3,True,54318.96892120042,survived
TYC 1422-614-1,70.0,1.0641777724759123,4,True,54318.978265886966,survived
TYC 1422-614-1,55.0,1.220774588761456,0,True,54318.96012694803,survived
TYC 1422-614-1,55.0,1.220774588761456,1,True,54318.96154035729,survived
TYC 1422-614-1,55.0,1.220774588761456,2,True,54318.960971836364,survived
TYC 1422-614-1,55.0,1.220774588761456,3,True,54318.979438466245,survived
TYC 1422-614-1,55.0,1.220774588761456,4,True,54318.96103506406,survived
TYC 1422-614-1,40.0,1.5557238268604126,0,True,54318.97308426204,survived
TYC 1422-614-1,40.0,1.5557238268604126,1,True,54318.97118047806,survived
TYC 1422-614-1,40.0,1.5557238268604126,2,True,54318.96201498413,survived
TYC 1422-614-1,40.0,1.5557238268604126,3,True,54318.97172361354,survived
TYC 1422-614-1,40.0,1.5557238268604126,4,True,54318.983925605804,survived
TYC 1422-614-1,30.0,2.0000000000000004,0,True,54318.961606976874,survived
TYC 1422-614-1,30.0,2.0000000000000004,1,True,54318.974276498295,survived
TYC 1422-614-1,30.0,2.0000000000000004,2,True,54318.97956584447,survived
TYC 1422-614-1,30.0,2.0000000000000004,3,True,54318.96742232527,survived
TYC 1422-614-1,30.0,2.0000000000000004,4,True,54318.97940742768,survived
TYC 1422-614-1,22.0,2.6694671625540143,0,False,1769.3980695699047,close_encounter
TYC 1422-614-1,22.0,2.6694671625540143,1,False,11967.468643913018,close_encounter
TYC 1422-614-1,22.0,2.6694671625540143,2,False,3499.2714129400847,close_encounter
TYC 1422-614-1,22.0,2.6694671625540143,3,True,54318.969858451426,survived
TYC 1422-614-1,22.0,2.6694671625540143,4,True,54318.978892342864,survived
TYC 1422-614-1,16.0,3.6279552785433005,0,True,54318.98494425638,survived
TYC 1422-614-1,16.0,3.6279552785433005,1,True,54318.98242640001,survived
TYC 1422-614-1,16.0,3.6279552785433005,2,False,1931.0254482329312,close_encounter
TYC 1422-614-1,16.0,3.6279552785433005,3,False,13355.265745997556,close_encounter
TYC 1422-614-1,16.0,3.6279552785433005,4,False,147.20691264360474,close_encounter
TYC 1422-614-1,12.0,4.809734344744131,0,False,10.01994848140494,close_encounter
TYC 1422-614-1,12.0,4.809734344744131,1,False,4366.233119224428,close_encounter
TYC 1422-614-1,12.0,4.809734344744131,2,False,2617.9396733008225,close_encounter
TYC 1422-614-1,12.0,4.809734344744131,3,False,62.11161676367252,close_encounter
TYC 1422-614-1,12.0,4.809734344744131,4,False,3385.281374712468,close_encounter
TYC 1422-614-1,9.0,6.392453221499662,0,False,241.89317603626506,close_encounter
TYC 1422-614-1,9.0,6.392453221499662,1,False,206.5464491706204,close_encounter
TYC 1422-614-1,9.0,6.392453221499662,2,False,20.293041090836432,close_encounter
TYC 1422-614-1,9.0,6.392453221499662,3,False,14953.664375421988,close_encounter
TYC 1422-614-1,9.0,6.392453221499662,4,False,18.07603751315283,close_encounter
TYC 1422-614-1,7.0,8.205509048125078,0,False,77.73199942678758,close_encounter
TYC 1422-614-1,7.0,8.205509048125078,1,False,5.382383475219817,close_encounter
TYC 1422-614-1,7.0,8.205509048125078,2,False,4.98019176634047,close_encounter
TYC 1422-614-1,7.0,8.205509048125078,3,False,4.660035551158539,close_encounter
TYC 1422-614-1,7.0,8.205509048125078,4,False,13.733842610940634,close_encounter
TYC 1422-614-1,5.0,11.473713245669856,0,False,71.06746259199582,close_encounter
TYC 1422-614-1,5.0,11.473713245669856,1,False,84.54801555728903,close_encounter
TYC 1422-614-1,5.0,11.473713245669856,2,False,5.178564411640326,close_encounter
TYC 1422-614-1,5.0,11.473713245669856,3,False,16.29474158455245,close_encounter
TYC 1422-614-1,5.0,11.473713245669856,4,False,2.132379812636369,close_encounter
