system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Wolf 1061,90.0,1.0,0,True,1337.9603809113698,survived
Wolf 1061,90.0,1.0,1,True,1337.960413084228,survived
Wolf 1061,90.0,1.0,2,True,1337.960806412252,survived
Wolf 1061,90.0,1.0,3,True,1337.9605619860063,survived
Wolf 1061,90.0,1.0,4,True,1337.9607354501334,survived
Wolf 1061,70.0,1.0641777724759123,0,True,1337.9604914200395,survived
Wolf 1061,70.0,1.0641777724759123,1,True,1337.9609264849691,survived
Wolf 1061,70.0,1.0641777724759123,2,True,1337.960390682937,survived
Wolf 1061,70.0,1.0641777724759123,3,True,1337.9605090857092,survived
Wolf 1061,70.0,1.0641777724759123,4,True,1337.960848091101,survived
Wolf 1061,55.0,1.220774588761456,0,True,1337.960548130802,survived
Wolf 1061,55.0,1.220774588761456,1,True,1337.9605313504144,survived
Wolf 1061,55.0,1.220774588761456,2,True,1337.9603137044985,survived
Wolf 1061,55.0,1.220774588761456,3,True,1337.9606427229198,survived
Wolf 1061,55.0,1.220774588761456,4,True,1337.960571630357,survived
Wolf 1061,40.0,1.5557238268604126,0,True,1337.9604617209513,survived
Wolf 1061,40.0,1.5557238268604126,1,True,1337.960501173973,survived
Wolf 1061,40.0,1.5557238268604126,2,True,1337.9604695043852,survived
Wolf 1061,40.0,1.5557238268604126,3,True,1337.960387294769,survived
Wolf 1061,40.0,1.5557238268604126,4,True,1337.9607311744953,survived
Wolf 1061,30.0,2.0000000000000004,0,True,1337.9608914580472,survived
Wolf 1061,30.0,2.0000000000000004,1,True,1337.960420610819,survived
Wolf 1061,30.0,2.0000000000000004,2,True,1337.9606445458828,survived
Wolf 1061,30.0,2.0000000000000004,3,True,1337.960553327731,survived
Wolf 1061,30.0,2.0000000000000004,4,True,1337.9608085046063,survived
Wolf 1061,22.0,2.6694671625540143,0,True,1337.960715884564,survived
Wolf 1061,22.0,2.6694671625540143,1,True,1337.9605319114835,survived
Wolf 1061,22.0,2.6694671625540143,2,True,1337.9604843601276,survived
Wolf 1061,22.0,2.6694671625540143,3,True,1337.9606429645062,survived
Wolf 1061,22.0,2.6694671625540143,4,True,1337.9605677993584,survived
Wolf 1061,16.0,3.6279552785433005,0,True,1337.9606506976038,survived
Wolf 1061,16.0,3.6279552785433005,1,True,1337.9606056452858,survived
Wolf 1061,16.0,3.6279552785433005,2,True,1337.9607414781692,survived
Wolf 1061,16.0,3.6279552785433005,3,True,1337.9603957247073,survived
Wolf 1061,16.0,3.6279552785433005,4,True,1337.9605691607703,survived
Wolf 1061,12.0,4.809734344744131,0,True,1337.9608327504184,survived
Wolf 1061,12.0,4.809734344744131,1,True,1337.9605343402627,survived
Wolf 1061,12.0,4.809734344744131,2,True,1337.9607795598395,survived
Wolf 1061,12.0,4.809734344744131,3,True,1337.9605911799222,survived
Wolf 1061,12.0,4.809734344744131,4,True,1337.9608813301868,survived
Wolf 1061,9.0,6.392453221499662,0,True,1337.9606677340228,survived
Wolf 1061,9.0,6.392453221499662,1,True,1337.960752198041,survived
Wolf 1061,9.0,6.392453221499662,2,True,1337.9604780276036,survived
Wolf 1061,9.0,6.392453221499662,3,True,1337.9603531215128,survived
Wolf 1061,9.0,6.392453221499662,4,True,1337.9606676357976,survived
Wolf 1061,7.0,8.205509048125078,0,True,1337.960448369808,survived
Wolf 1061,7.0,8.205509048125078,1,True,1337.9605160295027,survived
Wolf 1061,7.0,8.205509048125078,2,True,1337.9604434268108,survived
Wolf 1061,7.0,8.205509048125078,3,True,1337.9604180105046,survived
Wolf 1061,7.0,8.205509048125078,4,True,1337.9605850863616,survived
Wolf 1061,5.0,11.473713245669856,0,True,1337.960416866805,survived
Wolf 1061,5.0,11.473713245669856,1,True,1337.9606095849433,survived
Wolf 1061,5.0,11.473713245669856,2,True,1337.9608023370915,survived
Wolf 1061,5.0,11.473713245669856,3,True,1337.9603750242281,survived
Wolf 1061,5.0,11.473713245669856,4,True,1337.960360100634,survived
