system,n_planets,n_swept,min_period_d,max_ecc,delta_hill_at_1x,f_crit,fragile_pair
24 Sex,2,2,452.8,0.29,0.17,1.0,24 Sex b / 24 Sex c
HD 116029,2,2,670.0,0.038,1.58,1.0,HD 116029 b / HD 116029 c
HD 127195,2,2,534.5,0.05,3.02,1.0,HD 127195 b / HD 127195 c
HD 128311,2,1,453.019,0.303,0.28,1.0,HD 128311 b / HD 128311 c
HD 133131 A,2,2,649.0,0.49,1.48,1.0,HD 133131 A b / HD 133131 A c
HD 1461,2,2,5.77152,0.305,1.68,1.0,HD 1461 b / HD 1461 c
HD 153557,3,2,7.29903,0.511,0.0,1.0,HD 153557 b / HD 153557 c
HD 155358,2,2,194.3,0.17,1.54,1.0,HD 155358 b / HD 155358 c
HD 160691,4,1,9.6392,0.0666,2.52,1.0,HD 160691 e / HD 160691 b
HD 176986,3,1,6.49164,0.111,2.55,1.0,HD 176986 b / HD 176986 c
HD 200964,2,2,606.3,0.243,0.0,1.0,HD 200964 b / HD 200964 c
HD 203387,2,1,512.5352,0.732,2.66,1.0,HD 203387 b / HD 203387 c
HD 204313,3,1,34.95875,0.253,2.12,1.0,HD 204313 b / HD 204313 e
HD 20794,4,2,18.314,0.45,0.0,1.0,HD 20794 d / HD 20794 e
HD 33844,2,2,551.40002,0.15,0.67,1.0,HD 33844 b / HD 33844 c
HD 34445,6,6,49.175,0.27,0.0,1.0,HD 34445 f / HD 34445 b
HD 37124,3,3,154.378,0.16,2.41,1.0,HD 37124 c / HD 37124 d
HD 40307,5,2,4.3123,0.29,1.89,1.0,HD 40307 b / HD 40307 c
gam Lib,2,2,414.88,0.16,3.36,1.0,gam Lib b / gam Lib c
TIC 279401253,2,1,76.8,0.448,0.0,1.0,TIC 279401253 b / TIC 279401253 c
NY Vir,2,1,3160.0,0.15,2.03,1.0,NY Vir b / NY Vir c
Kepler-100,4,1,6.88734,0.38,0.54,1.0,Kepler-100 d / Kepler-100 e
K2-157,3,2,0.3652575,0.5,0.0,1.0,K2-157 c / K2-157 d
HIP 97166,2,1,10.288914,0.29,2.1,1.0,HIP 97166 b / HIP 97166 c
HD 114386,2,1,444.0,0.23,1.28,1.0,HD 114386 c / HD 114386 b
HIP 54373,2,2,7.76,0.2,1.16,1.0,HIP 54373 b / HIP 54373 c
HD 93385,3,3,7.3426,0.295,0.0,1.0,HD 93385 b / HD 93385 c
HD 81817,2,1,622.97802,0.097,0.89,1.0,HD 81817 c / HD 81817 b
HD 73526,2,2,188.3,0.28,0.0,1.0,HD 73526 b / HD 73526 c
HD 5319,2,2,637.1,0.183,0.0,1.0,HD 5319 b / HD 5319 c
HD 47366,2,2,360.08,0.161,1.92,1.0,HD 47366 b / HD 47366 c
HD 45364,2,2,225.79,0.067,3.07,1.0,HD 45364 b / HD 45364 c
HD 99706,2,2,841.0,0.411,0.0,1.0,HD 99706 b / HD 99706 c
HD 113538,2,2,663.2,0.2,3.25,1.0,HD 113538 b / HD 113538 c
ups And,3,1,4.617033,0.2987,2.38,1.0,ups And c / ups And d
GJ 3293,4,4,13.2543,0.21,2.64,1.0,GJ 3293 b / GJ 3293 d
GJ 180,3,3,17.133,0.14,2.27,1.0,GJ 180 b / GJ 180 c
2MASS J19383260+4603591,3,2,43.0,0.33,1.52,1.0,2MASS J19383260+4603591 b / Kepler-451 c
HD 102329,2,2,778.09998,0.21,0.0,1.0,HD 102329 b / HD 102329 c
DMPP-2,3,3,3.168,0.28,0.44,1.0,DMPP-2 c / DMPP-2 b
DMPP-1,4,4,3.1417,0.36,0.0,1.0,DMPP-1 d / DMPP-1 e
BD+20 2457,2,2,379.63,0.18,0.0,1.0,BD+20 2457 b / BD+20 2457 c
BD-210397,2,1,1891.0,0.43,0.74,1.0,BD-210397 b / BD-210397 c
TYC 1422-614-1,2,2,198.4,0.06,3.71,1.23,TYC 1422-614-1 b / TYC 1422-614-1 c
HIP 57274,3,2,8.1352,0.27,2.94,1.23,HIP 57274 b / HIP 57274 c
HD 147873,2,2,116.596,0.23,3.71,1.23,HD 147873 b / HD 147873 c
HD 95089,2,2,464.4,0.284,3.73,1.25,HD 95089 b / HD 95089 c
